a,b,c,d,e,f,g,h,i,j,k,l
0,100,35,488647,34369,8040,7857,11121,8955,1913,1892,0
0,81,37,880640,65319,8844,19916,6326,4102,2571,1281,0
0,78,51,7103,9784,1872,4832,1448,2228,1724,1727,0
0,75,48,11723,33137,22552,1960,5266,8264,10430,2575,0
0,75,57,5944,19755,10629,18268,8937,8125,12377,2310,0
0,77,56,53729,63106,20725,5635,9325,4825,15696,2334,0
0,78,63,62747,15260,10403,14616,4011,5595,21117,3373,0
0,83,67,15704,10282,12776,16161,14492,8581,26628,2756,0
0,91,50,84178,11183,1656,2852,14570,6778,20231,2454,0
0,100,41,14904,32677,6598,3178,20700,11511,23834,2660,0
0,91,37,175250,65629,20187,16957,3386,3352,5848,1897,1
0,69,24,542174,97240,7900,20446,12091,4819,7444,1526,1
0,51,30,140222,97437,24031,19612,36956,11364,4328,8746,1
0,29,47,922809,173383,99056,32738,28141,13139,21630,2579,1
0,48,44,246368,35129,19621,1377,6159,9908,3337,1411,1
0,57,53,758675,52943,27751,25484,13580,8457,2917,1510,1
0,60,44,2258638,313618,39594,15071,81459,35620,65215,5371,1
0,75,40,621032,306907,90073,76912,63565,68140,45248,7576,1
0,75,40,1825378,113747,28091,38859,27118,31726,8415,5779,1
0,80,34,62710,20886,4336,5519,4145,4204,3389,433,1
0,84,38,1460823,287221,48888,57070,85340,56041,15311,8058,0
0,83,47,10967,14468,8147,11083,6935,4260,12280,4195,0
0,70,51,162059,69595,18153,40900,7517,7926,20778,2285,0
0,84,50,26670,7246,2209,5572,15235,7826,21315,5194,0
0,83,54,2514,16740,7769,7237,16155,5145,29101,3261,0
0,93,48,7230,12053,8641,5159,12735,7728,6881,2210,0
0,94,50,8871,15851,2387,21369,10890,3257,5045,1704,0
0,88,50,13291,19504,3548,6359,8534,7984,10218,2087,0
0,91,57,8319,10434,16789,3784,3337,7598,9721,908,0
0,88,61,11110,26867,9704,14668,4854,11134,16392,2663,0
0,90,63,566089,69195,7066,92360,17172,18116,13984,6087,1
0,75,80,120139,13103,15998,35307,23421,3902,23190,2525,1
0,74,80,52590,3212,8219,17215,16195,5214,19801,4780,1
0,69,93,35237,19177,12985,77007,8376,16481,29138,4884,1
0,67,90,182011,33384,30848,23214,25556,7577,15448,4542,1
0,75,90,154907,22044,22319,59211,25701,13290,3344,3249,1
0,67,100,164870,13010,21474,79667,4253,11620,9969,4978,1
0,56,90,45368,117183,32308,46922,7417,11033,3900,1380,1
0,47,81,199909,210063,41433,31081,7661,9556,11251,3073,1
0,35,75,89668,94965,26206,58284,10672,7289,21861,4513,1
0,23,60,727570,156713,127979,18972,32550,11458,52213,3651,0
0,24,50,76188,69749,7544,7077,5037,5879,10225,4458,0
0,48,53,8268,11702,6229,3351,4741,5693,21353,3337,0
0,60,51,29653,16378,3114,16304,5899,4957,3003,2679,0
0,70,63,10204,9319,28386,8708,3447,5007,13613,1394,0
0,87,69,5077,6835,5988,4506,18009,4332,17030,3593,0
0,87,67,4462,11054,5376,4431,7160,6119,7475,5119,0
0,83,67,8949,30911,21539,8166,11061,6394,13167,1390,0
0,88,56,6485,27243,13512,16426,8171,8047,13884,2933,0
0,87,54,22245,17945,2527,7396,6403,6195,20402,1936,0
0,74,63,3322,22542,17572,15108,5785,4243,7475,1670,0
0,61,63,984599,79947,20026,54561,41147,5815,17270,6736,1
0,51,61,45471,82978,30602,42636,16146,8646,13384,2932,1
0,35,67,16297,69713,17561,34837,13164,6091,6978,5945,1
0,38,75,25237,23054,32628,55928,6065,12556,9475,7144,1
0,47,83,123279,15015,3956,19979,1684,3325,4324,1822,1
0,61,70,33555,21964,1035,8523,12105,7075,9777,2963,1
0,63,56,138301,24722,596,2868,2042,1552,4229,1214,1
0,69,43,29340,16430,10615,14168,26369,8720,16528,1964,1
0,60,44,243091,132618,25386,192203,3579,11806,7360,4160,1
0,48,67,60930,32095,9298,102932,4850,9851,3722,4772,1
0,51,96,219331,24993,17240,96696,10477,11854,6592,3888,1
0,27,94,388456,334600,81393,50122,15669,11916,11633,4007,0
0,54,77,12207,34309,6822,7613,6609,18019,3308,2054,0
0,67,64,8120,16316,16620,9204,5795,10416,7643,1355,0
0,81,53,31363,8102,11986,7249,12534,7502,6597,1792,0
0,100,56,1696,11476,10620,4331,9229,6216,9667,3220,0
0,84,80,5899,13022,42505,21571,10310,4054,3747,2077,0
0,78,84,3293,6942,13227,5221,5067,3488,8689,3677,0
0,77,84,9966,12464,13473,5807,5779,7170,9799,1854,0
0,64,90,27275,29344,5272,29249,6140,5318,7523,1792,0
0,61,69,37013,67737,8521,19117,23144,3715,5897,1740,0
0,41,67,168022,23601,18661,16025,6574,1320,1612,1401,1
0,17,78,487863,38085,6930,152093,23414,4709,4923,1536,1
0,1,83,133125,35680,2204,54463,3450,1699,931,1053,1
0,1,84,48948,174349,8880,64528,18886,7354,11643,3586,1
0,20,77,923322,35135,19637,25173,34652,13731,8744,2201,1
0,38,77,394358,17540,11267,75019,11662,12319,8333,1738,1
0,43,70,106708,72878,33327,64943,30531,5578,21110,3542,1
0,51,75,224608,57682,26798,14418,9714,6640,6380,1743,1
0,35,70,636877,161977,24724,40213,11267,7642,8177,4292,1
0,35,53,306623,50665,10161,12633,17595,9390,8685,2089,1
0,38,66,1605403,44799,36371,217313,17765,13776,21528,3847,1
0,37,61,316512,192965,53456,33768,36857,15002,15682,5047,0
0,48,48,191392,80989,5696,1841,7601,7757,2768,1107,0
0,34,30,960948,580803,22379,18112,64745,21796,8428,22160,0
0,41,16,31405,53833,40413,23845,12822,11684,7883,5450,0
0,50,29,32754,36164,25092,45298,4621,12952,7104,2509,0
0,50,63,34664,8172,22272,15067,7873,3960,4402,1714,0
0,64,90,7253,11971,5923,10930,6192,3938,7106,2723,0
0,75,75,14185,15684,4005,3293,15051,5873,7339,3667,0
0,78,61,6691,24347,9731,3714,10385,6460,7888,5500,0
0,74,40,97525,38699,7835,3040,2066,2675,1719,760,0
0,54,34,392403,227423,6457,93793,24309,7912,10191,6912,1
0,38,60,38403,12410,39497,164099,8665,13070,9312,4528,1
0,34,67,167069,10028,1584,13777,4995,2493,1296,1355,1
0,41,80,126821,23513,5681,44311,11989,8061,7708,2350,1
0,57,90,18027,16929,23941,42049,19604,10042,12587,2539,1
0,66,63,82358,59427,3355,15209,6887,10211,10887,2050,1
