a,b,c,d,e,f,g,h,i
79111,43594,9115,7948,3373,1493,1373,356,1
337159,110243,505,11315,21766,8050,1923,1968,0
1293164,123741,23393,75395,29691,18195,14933,2072,0
102972,52892,16209,55486,12169,10483,2978,2175,1
598856,36338,33035,40157,16826,22305,26179,11235,1
60595,19238,16371,102293,10889,5019,2504,1093,0
152294,79878,98281,117274,15450,18390,4615,3775,0
660787,72520,19676,84159,66845,23752,6875,1585,0
41681,38246,27977,50018,8148,6798,6470,2855,0
207887,35477,38085,6313,15829,9945,4725,1398,0
1244230,126234,20210,18737,13740,11882,9113,1936,1
329450,33474,112701,31050,24696,11564,3259,1990,1
1028798,130861,14611,62988,26283,17763,5712,4797,0
110372,11538,3423,10191,8329,3481,3222,780,0
318560,87359,26106,17647,31090,8421,10725,4762,1
600401,273740,53073,74155,27813,7670,22497,10561,0
25403,22615,683,107853,24369,11745,1214,1436,0
35994,47090,55677,22997,9547,9305,4956,1357,0
32024,7348,20598,15978,4277,5934,4527,2779,0
113668,29193,8083,22025,19629,15130,2827,2189,1
33076,33949,13984,31026,10161,12817,3399,2433,1
14152,16605,18381,19835,4603,6623,2244,1965,0
1632191,236241,107805,59262,88176,23039,9239,2361,0
182347,56566,15389,5456,3959,2561,588,565,1
663994,18085,17701,8435,18159,9760,1621,1114,0
5315,8462,18309,6280,13227,5852,1977,2150,1
282893,32928,20146,5019,2966,13105,4140,2046,1
709500,18981,10311,5334,7467,3210,3531,1192,1
70307,16389,7328,19593,4291,5218,3728,580,1
55305,14715,4267,1592,4170,1958,585,141,1
73288,20882,8959,681,4604,6266,1547,812,1
1473459,104827,11402,24562,17855,10202,4407,3536,0
728045,106036,11380,19588,31947,8504,7660,2809,0
920861,27942,1706,3380,6123,16452,3104,820,1
62570,34990,22778,12607,9751,6195,3122,1048,0
28635,67643,31396,37634,13288,7000,1850,1276,1
54149,77414,57607,32238,16268,13171,4633,3887,1
758109,75103,3977,7638,14827,4585,2461,646,1
300105,42762,21899,67712,12994,12212,7297,5662,0
442030,82909,5327,50164,45520,14966,5566,3661,1
428965,20083,29092,20357,12128,6572,3064,2484,0
750337,169740,57283,125820,36328,48743,10422,9144,1
248098,37755,21716,16471,26042,5902,3129,2762,1
85434,19542,4543,9063,12488,3253,1449,628,1
859481,64905,6563,112347,68987,43562,3901,2152,0
37467,22063,20545,20428,4499,13034,7314,1606,0
29497,17316,11796,22674,14814,12818,2108,3618,0
351394,109842,9402,31708,24755,9625,4759,3100,0
100634,69752,28322,11100,22184,8439,3843,4159,1
389054,227945,24820,17910,17021,21580,2748,1838,0
604080,55478,12924,20262,7227,12486,2123,1431,1
50811,110749,16919,5521,14561,7094,2656,2928,1
60750,19747,51682,35135,12026,7496,3563,1296,0
113657,44126,11201,4906,8173,5867,1427,923,1
112552,55638,30983,44482,7065,12897,2108,2225,1
42020,15220,34777,3317,13722,14936,2256,1922,1
1774516,223769,128166,93416,34647,10288,6029,3778,1
673484,51323,67398,44855,9531,15560,3461,2798,0
2395760,192515,1471,16924,77180,26377,7578,3720,1
157427,29368,3929,10216,3778,3634,509,810,1
589911,215191,47937,19537,40906,16208,8558,3473,1
26026,55568,27421,57190,14567,7489,2606,3590,0
185853,21518,52171,28696,28603,8260,4908,3285,0
16793,11791,28246,8086,8676,9602,4751,2003,0
148186,101180,9822,37517,22726,12034,5262,3003,1
50769,63831,9464,32818,12540,8741,6472,2317,1
44492,48228,8770,17442,2873,2499,1882,1319,1
234202,11664,4048,3901,2851,3219,1823,667,1
1382681,47692,20997,62214,13241,11380,2280,1972,1
420061,410323,49482,62101,31837,25301,9510,5695,1
145971,66911,13791,9312,8914,5020,1044,691,1
1249250,426814,17597,39881,47521,21856,12341,3546,1
985175,70278,3316,10836,3655,9005,2542,1135,1
175846,31509,1065,4362,5206,2975,538,1108,0
2038440,181428,13796,53184,26565,7937,3298,5052,0
166385,110679,30458,27129,8612,9189,4320,1459,1
65592,9082,13916,7629,7084,9436,4356,2612,1
580730,235632,11911,49697,13130,13132,5674,3501,0
63985,12588,9607,15387,9603,7888,3435,2332,0
12253,22706,8850,15795,8047,5994,4771,3403,1
212708,90453,12568,41480,9844,5776,3798,8810,0
1492047,30819,9281,12344,17757,12356,4661,3313,1
9068,8538,10089,11417,10850,5807,3333,2827,0
328625,170740,3541,5381,6903,6353,1537,1018,1
253411,146706,8748,5696,24934,6955,3938,2821,1
138010,57540,18086,68374,17429,8229,3546,10165,0
210568,42856,53361,33471,27880,7591,7283,3873,1
262975,90214,55618,86588,60328,22497,2926,6289,0
208918,37755,8067,2113,3264,3606,1557,898,0
69318,60462,5337,20507,13640,20319,3423,1815,0
7166,32773,25205,40771,6851,7804,2293,479,0
210359,41190,31059,113326,20815,5754,3876,5566,0
189635,48464,6048,7771,7348,3500,820,990,1
147185,38907,2596,6012,8070,4556,3006,1957,1
1215345,63908,18886,18806,37262,8526,16330,4550,1
61347,139976,14878,18562,13666,23324,5822,1572,1
15780,17372,4077,21365,8936,5317,4065,1235,0
252531,52204,10140,6376,10536,3890,2966,812,1
152052,48313,11206,8330,28064,6377,1272,1015,0
31173,50894,9836,5398,9131,3678,3663,4514,1
152043,12713,2405,7355,11816,4948,1041,1028,1
30778,13850,7945,4385,3856,3134,1150,904,1
18522,66201,13186,38393,2472,9448,1570,2181,0
635906,104591,19547,35767,36965,28969,4213,3893,0
78705,15912,4486,4815,10170,2154,757,839,1
517320,145681,11322,87467,9366,14160,1820,2392,0
140804,54044,11525,77676,22773,27901,3270,5116,1
41897,52691,3092,26908,20555,5476,3406,1442,1
203635,70125,76045,67477,13286,8569,3799,2102,1
28638,9255,9638,92125,6218,12613,1435,6772,0
4454,12747,26457,47628,12949,7074,1172,7661,0
130745,61528,8901,29419,7472,8677,3585,2581,0
25704,28759,35981,30653,20280,7295,3374,6517,1
15887,14724,12746,30770,16177,6264,1906,2104,0
93236,18032,18286,14608,4502,7423,1532,2788,0
229270,80043,5772,10443,4386,5686,2953,3659,1
76239,25884,47383,27333,8050,5266,4577,1306,1
115978,25821,6134,3008,4428,1833,1828,269,0
741276,4873,8294,9973,12594,3970,8733,2311,1
1165432,305186,15072,6797,26213,28833,3818,3033,0
501050,146989,79032,63573,52848,23231,9753,4811,1
18701,31419,3337,15127,15200,8086,3295,1350,1
49566,15803,4689,12574,1561,1672,816,2058,0
111650,4465,705,4427,938,709,249,325,1
340619,362526,24942,12218,34771,23063,6088,5019,1
52498,93672,29099,9541,26149,6312,6015,2333,0
44793,72348,6644,37481,12348,6418,4364,2805,0
44173,11192,33496,106164,16624,4554,3711,2246,0
331952,57276,2229,62641,6986,8223,3672,2162,1
59706,38294,22516,2721,10657,5980,2639,1195,1
79875,6606,25783,6019,5213,3426,1629,261,1
331444,85782,13942,17010,35651,10625,6319,4960,1
151865,28475,61006,50252,12075,15549,6732,5347,0
719960,35533,5184,6814,10895,9487,1223,955,1
379881,99706,16035,9894,20641,11006,1570,4978,0
91764,5158,3168,5059,1291,1570,374,723,0
11403,21706,51319,70054,16887,17251,3045,1475,0
115745,24143,35261,29826,41156,5041,3106,11232,0
1322954,43419,137808,14695,32409,16251,4736,3403,1
1391490,19896,69636,41713,30513,47983,3493,3382,1
56795,6457,10235,93550,11069,16133,3360,2409,0
1257143,79274,51368,21226,7829,22367,7694,6929,1
15910,22398,10236,11485,8574,5512,1614,1735,0
188227,135606,42569,34174,60860,11510,2242,2761,1
708961,139778,34495,51498,27287,35083,8195,2239,0
363900,20455,1496,3916,3692,1241,1736,288,0
1652713,108655,105072,33596,45286,31324,4541,8408,0
322847,37211,37250,27223,5146,4785,5891,2820,1
17714,87028,25081,10540,7689,7172,1988,1081,0
19615,23605,22749,33853,15409,3152,1195,2911,1
75805,72450,5424,23206,12869,3697,3382,1262,1
183057,15786,1360,5811,4616,2466,1183,753,1
34308,19720,22344,31530,15459,5998,3397,1305,0
164885,48174,9297,27195,14158,7466,5796,4030,0
1504595,159402,41695,11244,20411,32177,4261,3351,1
67871,78829,26697,40951,15330,7205,4951,10068,0
631839,79081,53126,22326,4311,9248,5406,2324,1
580067,37275,32548,20422,22940,8682,3908,2174,1
57427,43627,9860,30293,12681,9421,4173,2347,0
31080,33955,13452,9158,13177,26636,2486,11271,0
293292,57047,12197,4672,14826,6276,2936,945,1
60627,10955,6982,10812,2128,2402,1158,443,1
638680,36649,17813,12142,8078,4541,7118,2312,1
28789,62888,20862,13698,7387,6186,2112,1065,1
35216,5734,3548,1341,1434,1221,745,729,0
23035,49979,8881,27220,15343,4576,2040,1188,1
26392,52715,20344,59287,8770,13891,4658,8994,0
161109,427574,10628,16090,41837,56141,8994,4942,1
35088,10680,7091,50844,10429,12246,5771,2073,0
173060,90660,13440,19578,26578,48437,8856,3889,1
921037,73072,48445,15409,35008,22635,9219,3530,1
320915,129311,33892,28897,12325,9469,2895,6432,0
930973,150642,86147,82625,22020,38261,11771,7006,1
512615,18834,13676,6206,11297,9221,3080,2831,1
59487,22963,17605,26609,6558,7887,4915,5660,0
445407,157504,10800,3189,2724,9104,894,1104,1
19294,33536,21653,43901,18823,7946,3206,1513,1
417242,57140,35030,19073,9585,12820,4926,3295,1
941060,73786,13927,8935,17770,7090,1479,1637,1
51981,74331,8262,21222,9112,14844,2313,4683,0
33839,24715,28531,21342,14403,6759,5216,5842,1
57757,68408,5524,8107,7891,5686,4061,976,1
14518,36054,11246,23953,4303,6494,2560,4619,0
123449,188438,100567,43657,24762,24724,13605,4752,0
226080,45462,18701,27931,13255,8929,1391,2798,0
408033,59492,21128,11979,26728,6951,1682,1142,1
382383,68797,82854,12932,37035,6841,10139,3510,0
9508,14478,49534,30713,12200,9524,4794,2674,0
197358,34366,44379,27420,10731,19738,8776,10141,0
86550,22607,22360,14576,4252,10765,4558,2753,1
147393,32269,6795,3287,8082,15196,1463,859,1
57223,75778,6647,32303,9579,15335,4064,4528,1
11052,49748,33673,21214,12006,6941,2968,2506,0
69296,54668,17956,54024,24411,5544,1929,3579,0
49369,28035,12112,18570,9478,5397,1453,1210,0
1192023,32969,16019,2500,17032,15374,27171,2746,1
50920,101263,15889,36239,10294,10566,2457,1317,0
913055,174694,10838,26897,13773,6295,8455,2000,0
51574,38282,20921,50403,26797,4502,5887,2592,0
425278,88367,99669,55582,58987,33463,6041,4152,1
298117,54970,10413,20800,3915,8123,3811,3483,1
287179,36476,19183,1438,27040,7016,1878,1037,1
165787,246115,56296,16115,20750,11119,5121,4388,1
141585,39084,10094,6209,3846,5627,1016,476,1
152814,25290,12630,64311,11433,13328,4075,3944,0
1483938,59514,33459,27323,64963,17693,14356,6585,1
2168189,223664,44619,43130,17808,13210,11762,2967,1
488249,29735,10966,35636,17327,5885,3020,2367,0
47574,29082,15932,12549,11707,11865,2032,1347,1
19171,56830,40461,5240,7679,4284,5027,1242,1
28216,48617,15288,14536,27504,4089,5300,2882,1
1658714,167091,58597,8904,17885,21920,7716,9034,0
152267,47076,4226,2955,4777,3354,617,602,1
21391,49810,2955,19942,10153,15171,3500,2241,1
85549,61601,3500,69908,5523,6637,936,7341,0
314537,18093,3400,21059,3742,3313,1766,274,1
136390,66363,38868,12402,24894,9547,2348,4231,0
791702,178969,22356,16131,23333,31000,3713,3906,1
18972,7630,20929,77843,10011,6625,2447,5145,0
